customer_id,recency,frequency,monetary,F_score,R_score,M_score,RFM_score,segment
68304,76,1,14.5,1,5,1,511,New Customers
16857,30,2,128.83000087738037,2,5,4,524,Repeat Buyers
5619,465,1,25.0,1,2,1,211,Inactive Customers
2794,1443,1,279.5,1,1,5,115,Lost
82121,778,1,84.5,1,2,4,214,Lost
35572,1422,1,38.9900016784668,1,1,2,112,Lost
15629,136,2,103.5,2,4,4,424,Repeat Buyers
4268,923,1,75.0,1,1,3,113,Lost
69532,281,1,25.0,1,3,1,311,Inactive Customers
26867,326,1,29.209999084472656,1,3,2,312,Inactive Customers
4145,62,1,44.950000762939446,1,5,2,512,New Customers
80770,37,1,49.9900016784668,1,5,3,513,New Customers
92131,970,1,26.979999542236328,1,1,1,111,Lost
47056,665,1,150.0,1,2,5,215,Inactive Customers
15506,5,1,73.97000122070312,1,5,3,513,New Customers
58294,1492,1,14.0,1,1,1,111,Lost
99562,586,1,69.45000076293945,1,2,3,213,Inactive Customers
62685,180,1,115.0,1,4,4,414,Inactive Customers
53780,1,1,8.949999809265137,1,5,1,511,New Customers
13986,967,1,12.989999771118164,1,1,1,111,Lost
1689,443,1,6.75,1,3,1,311,Inactive Customers
30030,138,1,29.989999771118164,1,4,2,412,Inactive Customers
7062,84,1,62.0,1,4,3,413,New Customers
32532,667,1,186.0,1,2,5,215,Inactive Customers
83933,141,1,14.0,1,4,1,411,Inactive Customers
41483,14,1,48.0,1,5,2,512,New Customers
58002,162,1,192.21000003814697,1,4,5,415,Inactive Customers
4560,169,1,31.96999931335449,1,4,2,412,Inactive Customers
58463,51,1,109.98999786376952,1,5,4,514,New Customers
78314,441,1,101.95000076293944,1,3,4,314,Inactive Customers
5542,221,1,8.989999771118164,1,4,1,411,Inactive Customers
88201,161,1,10.6899995803833,1,4,1,411,Inactive Customers
39917,299,2,130.98999977111816,2,3,4,324,Repeat Buyers
25854,1552,1,34.9900016784668,1,1,2,112,Lost
60919,4,1,40.0,1,5,2,512,New Customers
35234,128,1,68.0,1,4,3,413,Inactive Customers
81231,5,1,70.0,1,5,3,513,New Customers
40853,409,1,85.45000076293945,1,3,4,314,Inactive Customers
19651,2,1,10.0,1,5,1,511,New Customers
169,723,1,220.79000091552732,1,2,5,215,Lost
71344,660,1,132.5,1,2,4,214,Inactive Customers
8244,182,2,85.21999740600587,2,4,4,424,Repeat Buyers
84915,300,2,113.7799997329712,2,3,4,324,Repeat Buyers
98978,86,1,101.49000263214111,1,4,4,414,New Customers
31550,622,1,177.14000129699707,1,2,5,215,Inactive Customers
75566,460,1,15.770000457763672,1,2,1,211,Inactive Customers
55254,271,1,242.2899932861328,1,3,5,315,Inactive Customers
83687,133,1,129.0,1,4,4,414,Inactive Customers
64205,687,2,364.4300003051758,2,2,5,225,Repeat Buyers
21417,161,1,29.979999542236328,1,4,2,412,Inactive Customers
38735,264,1,32.900001525878906,1,3,2,312,Inactive Customers
29784,1342,1,22.0,1,1,1,111,Lost
43893,15,1,38.5,1,5,2,512,New Customers
87617,12,1,58.0,1,5,3,513,New Customers
19943,962,1,39.5,1,1,2,112,Lost
20189,234,1,40.619998931884766,1,3,2,312,Inactive Customers
22353,28,1,18.0,1,5,1,511,New Customers
74046,970,2,208.9900016784668,2,1,5,125,Repeat Buyers
96276,110,3,251.3000030517578,3,4,5,435,Loyal Customers
73800,4,2,75.14000129699707,2,5,3,523,Repeat Buyers
40255,1090,1,25.0,1,1,1,111,Lost
42419,31,1,45.0,1,5,2,512,New Customers
86635,124,2,113.87000179290771,2,4,4,424,Repeat Buyers
75274,660,1,161.60000038146973,1,2,5,215,Inactive Customers
32486,450,1,25.0,1,3,1,311,Inactive Customers
30076,58,1,14.0,1,5,1,511,New Customers
10010,744,1,23.989999771118164,1,2,1,211,Lost
8075,1345,1,108.0,1,1,4,114,Lost
94066,166,1,55.0,1,4,3,413,Inactive Customers
27972,937,1,132.4499969482422,1,1,4,114,Lost
40209,74,1,39.9900016784668,1,5,2,512,New Customers
2502,303,1,62.98000144958496,1,3,3,313,Inactive Customers
71513,4,1,43.97999954223633,1,5,2,512,New Customers
55838,44,1,24.0,1,5,1,511,New Customers
15214,926,1,78.80999755859375,1,1,3,113,Lost
35987,608,1,18.5,1,2,1,211,Inactive Customers
29538,516,1,40.0,1,2,2,212,Inactive Customers
20833,1094,1,114.98999786376952,1,1,4,114,Lost
73385,1512,1,86.0,1,1,4,114,Lost
37338,1168,1,54.9900016784668,1,1,3,113,Lost
62147,456,1,62.0,1,2,3,213,Inactive Customers
60060,1346,1,5.900000095367432,1,1,1,111,Lost
44998,305,1,94.5,1,3,4,314,Inactive Customers
54487,25,2,104.65000343322754,2,5,4,524,Repeat Buyers
99024,765,1,63.970001220703125,1,2,3,213,Lost
6203,1079,1,174.98999977111816,1,1,5,115,Lost
42081,146,1,27.0,1,4,2,412,Inactive Customers
96107,895,1,8.989999771118164,1,1,1,111,Lost
13863,432,1,102.0,1,3,4,314,Inactive Customers
23750,309,1,208.97000122070312,1,3,5,315,Inactive Customers
87096,519,1,143.98999977111816,1,2,4,214,Inactive Customers
74690,296,1,92.0,1,3,4,314,Inactive Customers
46472,551,1,79.5,1,2,3,213,Inactive Customers
69071,614,1,12.0,1,2,1,211,Inactive Customers
98334,185,1,150.72999668121338,1,4,5,415,Inactive Customers
27451,679,1,29.0,1,2,2,212,Inactive Customers
94633,1504,1,40.0,1,1,2,112,Lost
46349,826,1,59.950000762939446,1,1,3,113,Lost
4852,818,1,119.98999786376952,1,1,4,114,Lost
63329,31,1,24.989999771118164,1,5,1,511,New Customers
84577,471,1,42.0,1,2,2,212,Inactive Customers
48038,773,1,102.0,1,2,4,214,Lost
56528,68,2,55.73999977111816,2,5,3,523,Repeat Buyers
81998,1,1,24.5,1,5,1,511,New Customers
507,273,1,9.949999809265137,1,3,1,311,Inactive Customers
37461,285,1,64.94999694824219,1,3,3,313,Inactive Customers
54364,8,1,35.7400016784668,1,5,2,512,New Customers
99808,32,1,95.2700023651123,1,5,4,514,New Customers
13740,392,1,34.9900016784668,1,3,2,312,Inactive Customers
39210,375,1,53.54999923706056,1,3,3,313,Inactive Customers
47225,157,1,25.0,1,4,1,411,Inactive Customers
15921,162,1,218.98999786376956,1,4,5,415,Inactive Customers
1812,436,1,98.0,1,3,4,314,Inactive Customers
33239,1514,1,59.5,1,1,3,113,Lost
6601,232,1,25.0,1,3,1,311,Inactive Customers
17962,403,1,76.5,1,3,3,313,Inactive Customers
60750,1036,1,16.3799991607666,1,1,1,111,Lost
70637,410,2,185.6900005340576,2,3,5,325,Repeat Buyers
93359,958,1,44.0,1,1,2,112,Lost
50571,62,1,221.9800033569336,1,5,5,515,High-Value New
34590,439,1,320.95000076293945,1,3,5,315,Inactive Customers
39333,542,1,57.0,1,2,3,213,Inactive Customers
1981,171,2,257.9899978637696,2,4,5,425,Repeat Buyers
24703,149,1,90.63999938964844,1,4,4,414,Inactive Customers
80647,111,1,138.48999977111816,1,4,4,414,High-Value New
13342,536,1,33.0,1,2,2,212,Inactive Customers
69286,98,2,96.86000061035156,2,4,4,424,Repeat Buyers
89721,1346,1,228.97999954223636,1,1,5,115,Lost
78483,162,2,268.8999938964844,2,4,5,425,Repeat Buyers
69778,145,1,89.98999786376953,1,4,4,414,Inactive Customers
80524,709,1,191.0,1,2,5,215,Lost
60458,58,1,18.0,1,5,1,511,New Customers
88570,524,1,34.900001525878906,1,2,2,212,Inactive Customers
57112,63,1,63.0,1,5,3,513,New Customers
338,6,1,54.950000762939446,1,5,3,513,New Customers
13571,465,1,62.0,1,2,3,213,Inactive Customers
9243,599,1,26.14999961853028,1,2,1,211,Inactive Customers
28725,569,1,54.0,1,2,3,213,Inactive Customers
95815,1200,1,6.989999771118164,1,1,1,111,Lost
67428,324,1,24.989999771118164,1,3,1,311,Inactive Customers
60289,231,1,124.5,1,3,4,314,Inactive Customers
12681,46,1,43.97999954223633,1,5,2,512,New Customers
97581,291,1,34.9399995803833,1,3,2,312,Inactive Customers
56651,2,1,11.210000038146973,1,5,1,511,New Customers
48991,164,1,9.989999771118164,1,4,1,411,Inactive Customers
93943,62,1,80.94000053405762,1,5,3,513,New Customers
8367,647,1,39.0,1,2,2,212,Inactive Customers
39502,295,1,76.75,1,3,3,313,Inactive Customers
24932,173,2,147.98999786376953,2,4,4,424,Repeat Buyers
71221,39,1,34.97999954223633,1,5,2,512,New Customers
63206,6,1,24.989999771118164,1,5,1,511,New Customers
98457,658,1,82.94999694824217,1,2,4,214,Inactive Customers
92469,446,1,167.29999923706055,1,3,5,315,Inactive Customers
3684,5,2,74.4000015258789,2,5,3,523,Repeat Buyers
44308,434,1,268.8099994659424,1,3,5,315,Inactive Customers
18254,308,1,40.0,1,3,2,312,Inactive Customers
29615,144,1,175.0,1,4,5,415,Inactive Customers
81600,276,1,25.989999771118164,1,3,1,311,Inactive Customers
94235,326,2,60.89999961853028,2,3,3,323,Repeat Buyers
8659,605,1,24.93000030517578,1,2,1,211,Inactive Customers
60352,23,2,266.50000190734863,2,5,5,525,Repeat Buyers
29309,614,1,37.95000076293945,1,2,2,212,Inactive Customers
17072,6,1,228.0,1,5,5,515,High-Value New
19236,102,2,73.98999977111816,2,4,3,423,Repeat Buyers
42542,513,1,209.98999977111816,1,2,5,215,Inactive Customers
44706,37,1,99.98999786376952,1,5,4,514,New Customers
19130,726,1,171.0,1,2,5,215,Lost
23458,729,1,169.03000164031982,1,2,5,215,Lost
61918,205,1,238.97999572753903,1,4,5,415,Inactive Customers
39104,133,1,56.98999977111816,1,4,3,413,Inactive Customers
74461,136,1,164.44000244140625,1,4,5,415,Inactive Customers
8951,470,1,153.73000144958496,1,2,5,215,Inactive Customers
64972,716,1,108.96999931335448,1,2,4,214,Lost
19528,460,1,231.98999786376956,1,2,5,215,Inactive Customers
87202,434,1,29.989999771118164,1,3,2,312,Inactive Customers
29017,86,1,64.94999694824219,1,4,3,413,New Customers
20020,1373,1,344.99000549316406,1,1,5,115,Lost
82874,189,1,85.95000076293945,1,4,4,414,Inactive Customers
42250,997,1,257.0,1,1,5,115,Lost
18838,134,1,29.989999771118164,1,4,2,412,Inactive Customers
41560,1268,1,121.04000282287596,1,1,4,114,Lost
50265,1403,1,89.0,1,1,4,114,Lost
72987,970,1,67.98000144958496,1,1,3,113,Lost
52429,186,1,224.98999786376956,1,4,5,415,Inactive Customers
63790,246,1,277.98000717163086,1,3,5,315,Inactive Customers
9641,11,1,98.0,1,5,4,514,New Customers
97873,180,1,7.110000133514404,1,4,1,411,Inactive Customers
40624,27,1,25.0,1,5,1,511,New Customers
71928,90,1,59.9900016784668,1,4,3,413,New Customers
2087,1034,1,34.880001068115234,1,1,2,112,Lost
81414,255,1,26.170000076293945,1,3,1,311,Inactive Customers
27557,118,1,149.98000144958496,1,4,5,415,Inactive Customers
44537,273,1,11.989999771118164,1,3,1,311,Inactive Customers
51676,159,2,167.0,2,4,5,425,Repeat Buyers
60166,1177,1,59.97999954223633,1,1,3,113,Lost
48805,872,1,188.0,1,1,5,115,Lost
50680,3,1,44.1200008392334,1,5,2,512,New Customers
8015,287,1,10.0,1,3,1,311,Inactive Customers
64789,79,1,154.9799976348877,1,5,5,515,High-Value New
736,109,1,332.7200012207031,1,4,5,415,High-Value New
76150,628,1,10.5,1,2,1,211,Inactive Customers
33485,696,1,48.0,1,2,2,212,Inactive Customers
19376,933,1,125.26000213623048,1,1,4,114,Lost
90259,495,1,298.0,1,2,5,215,Inactive Customers
3793,864,1,268.13000202178955,1,1,5,115,Lost
7706,988,1,66.95000076293945,1,1,3,113,Lost
58815,4,3,187.67000007629397,3,5,5,535,Loyal Customers
13448,210,1,108.0,1,4,4,414,Inactive Customers
26515,7,1,115.0,1,5,4,514,New Customers
58646,155,1,99.9399995803833,1,4,4,414,Inactive Customers
94696,106,1,70.7699966430664,1,4,3,413,New Customers
91779,292,1,138.60000610351562,1,3,4,314,Inactive Customers
31779,326,1,138.9499969482422,1,3,4,314,Inactive Customers
37398,123,1,129.99000549316406,1,4,4,414,Inactive Customers
26037,709,1,111.22000122070312,1,2,4,214,Lost
59124,965,1,74.9800033569336,1,1,3,113,Lost
36402,358,1,237.0,1,3,5,315,Inactive Customers
47763,5,1,52.9900016784668,1,5,3,513,New Customers
80063,37,1,39.9900016784668,1,5,2,512,New Customers
74444,158,1,98.08000183105467,1,4,4,414,Inactive Customers
90305,902,1,64.98999786376953,1,1,3,113,Lost
9180,31,1,134.98999977111816,1,5,4,514,High-Value New
74676,3,2,841.0,2,5,5,525,Repeat Buyers
43372,478,1,44.0,1,2,2,212,Inactive Customers
97567,453,1,48.95000076293945,1,3,2,312,Inactive Customers
16319,22,1,162.4699993133545,1,5,5,515,High-Value New
50202,666,1,32.95000076293945,1,2,2,212,Inactive Customers
46289,42,1,238.97999572753903,1,5,5,515,High-Value New
53428,564,1,99.0,1,2,4,214,Inactive Customers
56422,1381,1,55.0,1,1,3,113,Lost
48928,759,1,11.989999771118164,1,2,1,211,Lost
51553,302,1,19.989999771118164,1,3,1,311,Inactive Customers
30952,3,1,91.9900016784668,1,5,4,514,New Customers
45061,331,2,106.0,2,3,4,324,Repeat Buyers
6478,136,1,34.9900016784668,1,4,2,412,Inactive Customers
54902,163,2,109.60000038146973,2,4,4,424,Repeat Buyers
77624,544,1,70.9900016784668,1,2,3,213,Inactive Customers
57481,191,1,13.989999771118164,1,4,1,411,Inactive Customers
16196,62,1,38.52999877929688,1,5,2,512,New Customers
38918,1323,1,44.9900016784668,1,1,2,112,Lost
87557,1404,1,61.9900016784668,1,1,3,113,Lost
51507,254,1,20.0,1,3,1,311,Inactive Customers
98918,49,1,95.0,1,5,4,514,New Customers
33654,459,1,39.44000053405762,1,2,2,212,Inactive Customers
94049,202,1,138.5,1,4,4,414,Inactive Customers
6309,65,1,31.489999771118164,1,5,2,512,New Customers
82811,576,1,22.950000762939453,1,2,1,211,Inactive Customers
77839,858,2,235.97999572753903,2,1,5,125,Repeat Buyers
91902,169,1,49.950000762939446,1,4,3,413,Inactive Customers
21065,726,1,105.9499969482422,1,2,4,214,Lost
17733,932,1,39.94000053405762,1,1,2,112,Lost
38045,158,1,24.96999931335449,1,4,1,411,Inactive Customers
75918,281,1,68.98999977111816,1,3,3,313,Inactive Customers
71590,675,1,57.400001525878906,1,2,3,213,Inactive Customers
31702,219,2,227.98000526428223,2,4,5,425,Repeat Buyers
54670,104,3,54.46999931335449,3,4,3,433,Loyal Customers
64451,1562,1,59.0,1,1,3,113,Lost
53674,1031,1,24.0,1,1,1,111,Lost
13511,1187,1,104.5,1,1,4,114,Lost
16843,281,1,30.0,1,3,2,312,Inactive Customers
70654,261,1,235.52999877929685,1,3,5,315,Inactive Customers
71281,359,1,33.25,1,3,2,312,Inactive Customers
31842,597,1,129.99000549316406,1,2,4,214,Inactive Customers
52154,1273,1,233.95000076293945,1,1,5,115,Lost
89200,179,1,68.0,1,4,3,413,Inactive Customers
1214,7,1,61.98999977111816,1,5,3,513,New Customers
7952,787,1,152.4900016784668,1,2,5,215,Lost
3624,97,1,246.14000701904297,1,4,5,415,High-Value New
60229,180,1,15.0,1,4,1,411,Inactive Customers
63561,251,1,186.79999923706052,1,3,5,315,Inactive Customers
92838,1126,2,36.0,2,1,2,122,Repeat Buyers
30906,88,3,526.8899879455566,3,4,5,435,Loyal Customers
85559,424,1,139.5,1,3,4,314,Inactive Customers
229,22,2,65.9900016784668,2,5,3,523,Repeat Buyers
3561,767,1,9.989999771118164,1,2,1,211,Lost
97166,384,1,35.0,1,3,2,312,Inactive Customers
84809,400,1,54.950000762939446,1,3,3,313,Inactive Customers
20481,1004,1,28.43000030517578,1,1,2,112,Lost
87079,302,1,152.9900016784668,1,3,5,315,Inactive Customers
60767,1308,1,99.94999694824216,1,1,4,114,Lost
36571,663,1,104.94999694824216,1,2,4,214,Inactive Customers
82015,373,2,76.45000076293945,2,3,3,323,Repeat Buyers
50926,620,1,59.5,1,2,3,213,Inactive Customers
25456,814,1,67.93000030517578,1,2,3,213,Lost
14095,1779,1,30.0,1,1,2,112,Lost
53090,404,1,42.96999931335449,1,3,2,312,Inactive Customers
89781,523,1,19.989999771118164,1,2,1,211,Inactive Customers
44583,156,1,235.3900032043457,1,4,5,415,Inactive Customers
26684,318,1,44.9900016784668,1,3,2,312,Inactive Customers
83289,211,2,134.76000213623047,2,4,4,424,Repeat Buyers
2041,389,1,16.5,1,3,1,311,Inactive Customers
567,19,3,82.86999988555908,3,5,4,534,Loyal Customers
28158,1007,1,220.94999980926517,1,1,5,115,Lost
82061,1274,1,298.0,1,1,5,115,Lost
813,1198,1,86.45000076293945,1,1,4,114,Lost
88553,69,1,79.9900016784668,1,5,3,513,New Customers
23289,102,1,48.0,1,4,2,412,New Customers
5436,80,1,12.510000228881836,1,5,1,511,New Customers
99914,440,1,9.109999656677246,1,3,1,311,Inactive Customers
15569,959,1,169.0,1,1,5,115,Lost
18486,76,1,83.95999908447266,1,5,4,514,New Customers
65679,84,1,68.4900016784668,1,4,3,413,New Customers
11822,1229,1,27.0,1,1,2,112,Lost
1672,51,1,79.98999786376953,1,5,3,513,New Customers
73339,181,1,34.95000076293945,1,4,2,412,Inactive Customers
4898,1435,1,199.0,1,1,5,115,Lost
5894,41,2,70.46999931335449,2,5,3,523,Repeat Buyers
45473,55,2,119.0,2,5,4,524,Repeat Buyers
22708,250,1,36.0,1,3,2,312,Inactive Customers
31364,869,1,25.0,1,1,1,111,Lost
38503,546,1,22.979999542236328,1,2,1,211,Inactive Customers
90365,105,1,109.98999786376952,1,4,4,414,New Customers
7125,437,2,140.9900016784668,2,3,4,324,Repeat Buyers
59061,468,1,79.94999694824217,1,2,3,213,Inactive Customers
66721,486,1,71.94999694824219,1,2,3,213,Inactive Customers
1460,1132,1,92.0,1,1,4,114,Lost
37507,5,1,9.5,1,5,1,511,New Customers
2456,53,1,53.9900016784668,1,5,3,513,New Customers
20172,448,2,192.0,2,3,5,325,Repeat Buyers
71112,1049,2,87.22000122070312,2,1,4,124,Repeat Buyers
59751,334,2,326.7899971008301,2,3,5,325,Repeat Buyers
48390,257,2,37.98999977111816,2,3,2,322,Repeat Buyers
51095,787,1,19.89999961853028,1,2,1,211,Lost
44431,189,1,157.5,1,4,5,415,Inactive Customers
12512,950,1,148.0,1,1,4,114,Lost
87969,95,1,115.98999786376952,1,4,4,414,New Customers
80309,830,1,29.0,1,1,2,112,Lost
52091,726,1,42.97999954223633,1,2,2,212,Lost
79313,147,1,11.9399995803833,1,4,1,411,Inactive Customers
21477,8,2,42.0,2,5,2,522,Repeat Buyers
68427,702,1,75.0,1,2,3,213,Inactive Customers
25147,150,1,14.989999771118164,1,4,1,411,Inactive Customers
77255,484,1,8.600000381469727,1,2,1,211,Inactive Customers
81168,103,1,11.449999809265137,1,4,1,411,New Customers
83747,192,1,25.0,1,4,1,411,Inactive Customers
75091,283,1,138.0,1,3,4,314,Inactive Customers
70591,1520,1,198.0,1,1,5,115,Lost
96339,605,2,225.350004196167,2,2,5,225,Repeat Buyers
83226,742,1,32.9900016784668,1,2,2,212,Lost
8599,1165,2,118.5,2,1,4,124,Repeat Buyers
91839,926,2,164.99000549316406,2,1,5,125,Repeat Buyers
26452,351,1,34.650001525878906,1,3,2,312,Inactive Customers
51264,768,1,306.22000885009766,1,2,5,215,Lost
65373,116,1,72.0,1,4,3,413,Inactive Customers
8642,1,1,23.88999938964844,1,5,1,511,New Customers
45430,567,1,25.0,1,2,1,211,Inactive Customers
74029,327,1,38.0,1,3,2,312,Inactive Customers
76734,17,1,13.989999771118164,1,5,1,511,New Customers
61809,18,1,5.949999809265137,1,5,1,511,New Customers
59230,95,1,84.94999694824217,1,4,4,414,New Customers
88616,185,1,223.97000122070312,1,4,5,415,Inactive Customers
7368,197,1,34.0,1,4,2,412,Inactive Customers
28095,545,1,50.0,1,2,3,213,Inactive Customers
65894,647,1,54.900001525878906,1,2,3,213,Inactive Customers
95108,141,1,43.9900016784668,1,4,2,412,Inactive Customers
56007,777,1,6.929999828338623,1,2,1,211,Lost
51138,770,1,25.0,1,2,1,211,Lost
67368,882,1,65.46999931335449,1,1,3,113,Lost
35818,1117,1,129.0,1,1,4,114,Lost
17318,313,1,38.0,1,3,2,312,Inactive Customers
20650,202,1,145.88000106811523,1,4,4,414,Inactive Customers
42788,73,1,23.89999961853028,1,5,1,511,New Customers
47116,1552,1,93.98999786376952,1,1,4,114,Lost
14401,965,2,71.23999977111816,2,1,3,123,Repeat Buyers
75503,184,1,24.0,1,4,1,411,Inactive Customers
38460,1058,1,290.95000076293945,1,1,5,115,Lost
96751,574,1,6.949999809265137,1,2,1,211,Inactive Customers
70285,11,1,69.0,1,5,3,513,New Customers
17212,247,1,34.989999771118164,1,3,2,312,Inactive Customers
25868,27,2,55.09000015258789,2,5,3,523,Repeat Buyers
2519,99,2,53.89999961853027,2,4,3,423,Repeat Buyers
88095,548,2,282.86999464035034,2,2,5,225,Repeat Buyers
93634,221,1,100.0,1,4,4,414,Inactive Customers
99456,1877,1,110.0,1,1,4,114,Lost
81646,445,1,29.8799991607666,1,3,2,312,Inactive Customers
21540,107,1,22.0,1,4,1,411,New Customers
90196,400,1,119.96999931335448,1,3,4,314,Inactive Customers
64142,1193,1,11.989999771118164,1,1,1,111,Lost
4620,1571,1,39.950000762939446,1,1,2,112,Lost
33007,32,1,64.87999725341797,1,5,3,513,New Customers
63146,181,1,80.94999694824219,1,4,3,413,Inactive Customers
1629,44,2,136.9900016784668,2,5,4,524,Repeat Buyers
32011,143,1,44.950000762939446,1,4,2,412,Inactive Customers
9289,1160,1,134.93999862670898,1,1,4,114,Lost
292,686,1,248.75,1,2,5,215,Inactive Customers
36339,736,1,149.0,1,2,4,214,Lost
53259,899,1,60.09999847412109,1,1,3,113,Lost
27205,25,1,53.54999923706056,1,5,3,513,New Customers
13680,820,1,7.519999980926514,1,1,1,111,Lost
18008,792,1,19.989999771118164,1,2,1,211,Lost
22877,129,1,73.04999923706056,1,4,3,413,Inactive Customers
54255,190,1,288.9899978637696,1,4,5,415,Inactive Customers
82473,3,1,15.75,1,5,1,511,New Customers
45599,805,1,54.0,1,2,3,213,Lost
41898,32,1,57.9900016784668,1,5,3,513,New Customers
76087,306,1,59.0,1,3,3,313,Inactive Customers
73923,908,1,213.0,1,1,5,115,Lost
42204,1210,1,59.95000076293945,1,1,3,113,Lost
97229,47,1,25.0,1,5,1,511,New Customers
78251,1120,1,149.0,1,1,4,114,Lost
14464,1424,1,13.93000030517578,1,1,1,111,Lost
7431,71,1,29.40999984741211,1,5,2,512,New Customers
9595,576,1,59.5,1,2,3,213,Inactive Customers
88722,269,1,74.40999984741211,1,3,3,313,Inactive Customers
84394,29,1,27.989999771118164,1,5,2,512,New Customers
16628,541,1,197.9399948120117,1,2,5,215,Inactive Customers
79525,257,1,105.45000076293944,1,3,4,314,Inactive Customers
99499,73,1,153.23999786376953,1,5,5,515,High-Value New
86558,27,1,53.0,1,5,3,513,New Customers
64726,1251,1,163.2300033569336,1,1,5,115,Lost
35755,947,1,112.98999977111816,1,1,4,114,Lost
89612,227,1,36.0,1,4,2,412,Inactive Customers
87448,902,2,606.3700008392334,2,1,5,125,Repeat Buyers
27099,680,1,54.950000762939446,1,2,3,213,Inactive Customers
13033,647,1,69.0,1,2,3,213,Inactive Customers
85284,334,1,35.4900016784668,1,3,2,312,Inactive Customers
60398,99,1,19.81999969482421,1,4,1,411,New Customers
41314,1065,1,68.0,1,1,3,113,Lost
25625,331,3,200.9900016784668,3,3,5,335,Loyal Customers
45642,279,1,25.0,1,3,1,311,Inactive Customers
48347,217,1,24.0,1,4,1,411,Inactive Customers
43478,607,1,27.989999771118164,1,2,2,212,Inactive Customers
27789,104,1,55.97999954223633,1,4,3,413,New Customers
39150,556,1,29.989999771118164,1,2,2,212,Inactive Customers
34281,403,1,35.0,1,3,2,312,Inactive Customers
43707,58,2,88.95000076293945,2,5,4,524,Repeat Buyers
69841,551,1,65.98999977111816,1,2,3,213,Inactive Customers
92655,1549,1,24.989999771118164,1,1,1,111,Lost
38798,39,1,146.79999923706055,1,5,4,514,High-Value New
9060,9,4,217.2700023651123,3,5,5,535,Loyal Customers
19542,1095,1,70.10000038146973,1,1,3,113,Lost
40149,517,1,172.75,1,2,5,215,Inactive Customers
51510,34,1,35.0,1,5,2,512,New Customers
67826,140,1,43.9900016784668,1,4,2,412,Inactive Customers
48639,1001,1,25.0,1,1,1,111,Lost
57129,861,1,188.9900054931641,1,1,5,115,Lost
60000,51,1,56.0,1,5,3,513,New Customers
99579,97,1,58.0,1,4,3,413,New Customers
66475,261,1,89.35000038146973,1,3,4,314,Inactive Customers
13113,3,1,63.27999973297119,1,5,3,513,New Customers
11098,270,1,339.9000015258788,1,3,5,315,Inactive Customers
71407,112,1,42.0,1,4,2,412,Inactive Customers
84637,397,1,17.93000030517578,1,3,1,311,Inactive Customers
87723,1657,1,24.989999771118164,1,1,1,111,Lost
33820,3,1,65.5,1,5,3,513,New Customers
54427,42,1,25.0,1,5,1,511,New Customers
6143,615,1,63.950000762939446,1,2,3,213,Inactive Customers
22459,1411,1,38.9399995803833,1,1,2,112,Lost
