traffic_source,year,month,sessions
Adwords,2021,4,2799
YouTube,2021,4,916
Facebook,2021,4,914
Organic,2021,4,444
Email,2021,5,4272
Adwords,2021,5,2878
Facebook,2021,5,970
YouTube,2021,5,967
Organic,2021,5,466
Email,2021,6,4184
Adwords,2021,6,2905
YouTube,2021,6,986
Facebook,2021,6,948
Organic,2021,6,472
Email,2021,7,4520
Adwords,2021,7,2899
YouTube,2021,7,1046
Facebook,2021,7,1023
Organic,2021,7,474
Email,2021,8,4438
Adwords,2021,8,3012
YouTube,2021,8,994
Facebook,2021,8,990
Organic,2021,8,457
Email,2021,9,4337
Adwords,2021,9,2947
Facebook,2021,9,987
YouTube,2021,9,909
Organic,2021,9,507
Email,2021,10,4602
Adwords,2021,10,2992
Facebook,2021,10,1037
YouTube,2021,10,974
Organic,2021,10,485
Email,2021,11,4392
Adwords,2021,11,2937
YouTube,2021,11,940
Facebook,2021,11,938
Organic,2021,11,529
Email,2021,12,4621
Adwords,2021,12,3062
YouTube,2021,12,1084
Facebook,2021,12,1055
Organic,2021,12,487
Email,2022,1,4772
Adwords,2022,1,3192
Facebook,2022,1,1036
YouTube,2022,1,1003
Organic,2022,1,544
Email,2022,2,4226
Adwords,2022,2,2910
Facebook,2022,2,960
YouTube,2022,2,910
Organic,2022,2,439
Email,2022,3,4744
Adwords,2022,3,3120
Facebook,2022,3,1129
YouTube,2022,3,1101
Organic,2022,3,575
Email,2022,4,4664
Adwords,2022,4,3057
Facebook,2022,4,1058
YouTube,2022,4,1006
Organic,2022,4,487
Email,2022,5,4841
Adwords,2022,5,3219
Facebook,2022,5,1092
YouTube,2022,5,1031
Organic,2022,5,538
Email,2022,6,4752
Adwords,2022,6,3153
YouTube,2022,6,1071
Facebook,2022,6,1052
Organic,2022,6,501
Email,2022,7,4880
Adwords,2022,7,3352
Facebook,2022,7,1091
YouTube,2022,7,1064
Organic,2022,7,518
Email,2022,8,5151
Adwords,2022,8,3403
YouTube,2022,8,1163
Facebook,2022,8,1153
Organic,2022,8,551
Email,2022,9,4920
Adwords,2022,9,3272
YouTube,2022,9,1112
Facebook,2022,9,1101
Organic,2022,9,560
Email,2022,10,5195
Adwords,2022,10,3377
Facebook,2022,10,1181
YouTube,2022,10,1171
Organic,2022,10,594
Email,2022,11,5022
Adwords,2022,11,3345
Facebook,2022,11,1172
YouTube,2022,11,1088
Organic,2022,11,565
Email,2022,12,5380
Adwords,2022,12,3565
YouTube,2022,12,1170
Facebook,2022,12,1141
Organic,2022,12,570
Email,2023,1,5354
Adwords,2023,1,3671
Facebook,2023,1,1224
YouTube,2023,1,1201
Organic,2023,1,596
Email,2023,2,4921
Adwords,2023,2,3375
YouTube,2023,2,1178
Facebook,2023,2,1105
Organic,2023,2,568
Email,2023,3,5686
Adwords,2023,3,3619
YouTube,2023,3,1240
Facebook,2023,3,1211
Organic,2023,3,659
Email,2023,4,5493
Adwords,2023,4,3607
Facebook,2023,4,1228
YouTube,2023,4,1228
Organic,2023,4,605
Email,2023,5,5865
Adwords,2023,5,3868
YouTube,2023,5,1283
Facebook,2023,5,1255
Organic,2023,5,665
Email,2023,6,5629
Adwords,2023,6,3805
Facebook,2023,6,1286
YouTube,2023,6,1255
Organic,2023,6,650
Email,2023,7,5890
Adwords,2023,7,3920
Facebook,2023,7,1446
YouTube,2023,7,1338
Organic,2023,7,622
Email,2023,8,6266
Adwords,2023,8,4093
YouTube,2023,8,1383
Facebook,2023,8,1344
Organic,2023,8,666
Email,2023,9,6232
Adwords,2023,9,4073
YouTube,2023,9,1379
Facebook,2023,9,1324
Organic,2023,9,698
Email,2023,10,6501
Adwords,2023,10,4326
YouTube,2023,10,1461
Facebook,2023,10,1417
Organic,2023,10,720
Email,2023,11,6460
Adwords,2023,11,4334
YouTube,2023,11,1482
Facebook,2023,11,1467
Organic,2023,11,734
Email,2023,12,6977
Adwords,2023,12,4636
Facebook,2023,12,1570
YouTube,2023,12,1535
Organic,2023,12,749
Email,2024,1,7126
Adwords,2024,1,4807
YouTube,2024,1,1646
Facebook,2024,1,1588
Organic,2024,1,807
Email,2024,2,7222
Adwords,2024,2,4816
YouTube,2024,2,1604
Facebook,2024,2,1585
Organic,2024,2,752
Email,2024,3,8201
Adwords,2024,3,5457
Facebook,2024,3,1861
YouTube,2024,3,1843
Organic,2024,3,897
Email,2024,4,9303
Adwords,2024,4,6194
YouTube,2024,4,2068
Facebook,2024,4,2017
Organic,2024,4,1029
Email,2024,5,5242
Adwords,2024,5,3583
YouTube,2024,5,1179
Facebook,2024,5,1168
Organic,2024,5,601
